법정동시군구코드,법정동읍면동코드,법정동지번코드,법정동본번코드,법정동부번코드,도로명,도로명시군구코드,도로명코드,도로명일련번호코드,도로명지상지하코드,도로명건물본번호코드,도로명건물부번호코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,거래금액,층,건축년도,단지일련번호,해제여부,해제사유발생일,거래유형,중개사소재지,등기일자,아파트동명,매도자,매수자,토지임대부아파트여부
41135,10800,1,0629,0000,판교로,41135,3180051,03,0,00020,00000,판교동,판교원마을3단지(푸르지오),629,84.51,2025,6,30,162000,16,2009,41135-460,None,None,중개거래,경기 성남시 분당구,25.10.20,302,개인,개인,N
41135,10200,1,0052,0000,수내로,41135,3180039,02,0,00148,00000,수내동,파크타운(서안),52,184.78,2025,6,10,220000,8,1993,41135-77,None,None,중개거래,경기 성남시 분당구,25.08.14,114,개인,개인,N
41135,11500,1,0918,0000,판교원로82번길,41135,4340480,01,0,00030,00000,운중동,산운마을13단지(태영),918,101.67,2025,6,21,152000,9,2010,41135-477,None,None,중개거래,경기 성남시 분당구,25.09.22,1312,개인,개인,N
41135,11400,1,0202,0000,구미로,41135,3180001,01,0,00050,00000,구미동,무지개(2단지)(엘지),202,134.94,2025,6,9,135000,8,1995,41135-185,None,None,중개거래,"경기 성남시 분당구, 경기 용인시 수지구",25.09.05,201,개인,개인,N
41135,10300,1,0198,0000,불정로,41135,3180030,03,0,00179,00000,정자동,정든마을(2단지)(동아),198,48.84,2025,6,23,78000,15,1995,41135-62,None,None,중개거래,경기 성남시 분당구,25.10.13,201,개인,개인,N
41135,11500,1,0989,0000,산운로,41135,3180031,01,0,00097,00000,운중동,산운마을5단지(한성필하우스),989,84.8055,2025,6,15,135000,1,2009,41135-438,None,None,중개거래,경기 성남시 분당구,25.09.24,505,개인,개인,N
41135,11100,1,0125,0000,금곡로,41135,3180054,02,0,00263,00000,금곡동,청솔마을(공무원),125,58.19,2025,6,23,91000,5,1994,41135-151,None,None,중개거래,경기 성남시 분당구,25.09.29,505,개인,개인,N
41135,10200,1,0071,0000,수내로,41135,3180039,02,0,00206,00000,수내동,푸른마을(벽산),71,139.68,2025,6,16,190000,15,1992,41135-78,None,None,중개거래,경기 성남시 분당구,25.10.31,302,개인,개인,N
41135,10300,1,0011,0000,정자일로213번길,41135,4340130,01,0,00005,00000,정자동,현대I-PARK3,11,84.92,2025,6,25,175000,7,2003,41135-240,None,None,중개거래,경기 성남시 분당구,25.10.01,301,개인,개인,N
41135,10800,1,0629,0000,판교로,41135,3180051,03,0,00020,00000,판교동,판교원마을3단지(푸르지오),629,84.51,2025,6,2,153000,27,2009,41135-460,None,None,중개거래,경기 성남시 분당구,None,None,개인,개인,N
