rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmPmsrgstPk,bldNm,splotNm,block,lot,jimokCdNm,jiyukCdNm,jiguCdNm,guyukCd,guyukCdNm,jimokCd,jiyukCd,jiguCd,archGbCd,archGbCdNm,platArea,archArea,bcRat,totArea,vlRatEstmTotArea,vlRat,mainBldCnt,atchBldDongCnt,mainPurpsCd,mainPurpsCdNm,hhldCnt,hoCnt,fmlyCnt,totPkngCnt,stcnsSchedDay,stcnsDelayDay,realStcnsDay,archPmsDay,useAprDay,crtnDay
162,경기도 성남시 분당구 백현동 486번지,41135,11000,0,0486,0000,1089100048493,., , , ,대,보전녹지지역, , , ,08,UQA410, ,0200,증축,970.0,193.26,19.92,376.91,376.91,38.86,1,0,01000,단독주택,0,1,1,0,20170428, ,20170501,20170425,20170713,20220909
163,경기도 성남시 분당구 백현동 486번지,41135,11000,0,0486,0000,108913710,고진규씨 건물, , , ,전,보전녹지지역, , , ,01,1310, ,0100,신축,970.0,190.0,19.59,190.0,190.0,19.59,1,0,03000,제1종근린생활시설,0,0,0,3,20041101,20040901,20041020,20021126, ,20220909
164,경기도 성남시 분당구 백현동 486번지,41135,11000,0,0486,0000,108914651,., , , ,전,보전녹지지역, , , ,01,1310, ,0100,신축,970.0,187.86,19.37,187.86,187.86,19.37,1,0,03000,제1종근린생활시설,0,0,0,5,20060831,20061124,20060830,20041125,20070402,20220909
165,경기도 성남시 분당구 백현동 486번지,41135,11000,0,0486,0000,1089100017087,백현동 486 제1종근린생활시설 (최규훈), , , ,대,보전녹지지역, , , ,08,UQA410, ,0200,증축,970.0,193.26,19.92,372.35,372.35,38.39,1,0,03000,제1종근린생활시설,0,0,0,0,20121129,20120506,20121129,20101130,20141126,20220909
166,경기도 성남시 분당구 백현동 486-1번지,41135,11000,0,0486,0001,1089100010763,백현동 486-1 제1종근린생활시설 (이국진), , , ,전,보전녹지지역, , , ,01,1310, ,0100,신축,811.0,161.17,19.873,483.51,483.51,59.619,1,0,03000,제1종근린생활시설,0,0,0,0,20090902, ,20090902,20090825,20100126,20220909
167,경기도 성남시 분당구 백현동 486-1번지,41135,11000,0,0486,0001,108914650,., , , ,전,보전녹지지역, , , ,01,1310, ,0100,신축,1182.0,233.12,19.72,233.12,233.12,19.72,1,0,03000,제1종근린생활시설,0,0,0,1,20050418, ,20050418,20041125, ,20220909
168,경기도 성남시 분당구 백현동 486-1번지,41135,11000,0,0486,0001,108913711,정재송씨 건물, , , ,전,보전녹지지역, , , ,01,1310, ,0100,신축,1182.0,231.0,19.54,231.0,231.0,19.54,1,0,03000,제1종근린생활시설,0,0,0,3,20041101,20041101,20041020,20021126, ,20220909
169,경기도 성남시 분당구 백현동 489-1번지,41135,11000,0,0489,0001,108914631,백현동489-1근린생활시설, , , ,답,보전녹지지역, , , ,02,1310, ,0100,신축,863.0,166.82,19.33,327.6,327.6,37.96,1,0,03000,제1종근린생활시설,0,0,0,2,20041020, ,20041020,20040916,20050617,20220909
170,경기도 성남시 분당구 백현동 489-2번지,41135,11000,0,0489,0002,108911908,김용권씨근생건물, , , ,대,보전녹지지역, , , ,08,1310, ,0200,증축,1564.0,109.37,6.99,208.77,208.77,13.34,1,0,04000,제2종근린생활시설,0,0,0,2,20011218,20001123, ,19991123,20020412,20220909
171,경기도 성남시 분당구 백현동 489-2번지,41135,11000,0,0489,0002,1000000000000000512091, , , , ,대,보전녹지지역, ,UQQ300,지구단위계획구역,08,UQA410, , , ,1538.0,18.0,0.0,18.0,0.0,0.0,0,0, , ,0,0,0,0, , , ,20240508, ,20241029
172,경기도 성남시 분당구 백현동 489-2번지,41135,11000,0,0489,0002,108911830,김용권씨 근생, , , ,대,보전녹지지역, , , ,08,1310, ,0100,신축,1564.0,278.2,17.79,398.2,398.2,25.46,1,0,04000,제2종근린생활시설,0,0,0,0,20011218,20001123,20011218,19991123,20020412,20220909
173,경기도 성남시 분당구 백현동 489-2번지,41135,11000,0,0489,0002,1000000000000000497245,골프존파크 판교 남서울cc, , , ,대,보전녹지지역, ,UQQ300,지구단위계획구역,08,UQA410, ,0200,증축,1538.0,303.5,19.73,494.17,494.17,32.13,2,0,04000,제2종근린생활시설,0,0,0,0,20240502, ,20240503,20240415,20241017,20241017
