rnum,platPlc,sigunguCd,bjdongCd,platGbCd,bun,ji,mgmBldrgstPk,mgmUpBldrgstPk,bldgId,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,newPlatPlc,bldNm,splotNm,block,lot,bylotCnt,naRoadCd,naBjdongCd,naUgrndCd,naMainBun,naSubBun,jiyukCd,jiguCd,guyukCd,jiyukCdNm,jiguCdNm,guyukCdNm,crtnDay
67,경기도 성남시 분당구 백현동 374-11번지,41135,11000,0,0374,0011,1000000000000005359234,0,2020251915752379,1,일반,1,총괄표제부,경기도 성남시 분당구 대왕판교로385번길 26 (백현동),백현동 374 제1종근린생활시설 (재단법인 큐티선교회), , , ,0,411354340050,11001,0,26,0,UQA410, , ,보전녹지지역, , ,20250314
68,경기도 성남시 분당구 백현동 375-12번지,41135,11000,0,0375,0012,10891100327651,0,2120201910000068,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 28-1 (백현동),., , , ,0,411354340050,11001,0,28,1,UQA410, , ,보전녹지지역, , ,20220909
69,경기도 성남시 분당구 백현동 376-1번지,41135,11000,0,0376,0001,10891100187554,10891100187555,2120091910000200,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 28 (백현동),성남외국어고등학교, , , ,0,411354340050,11001,0,28,0,1310, , ,보전녹지지역, , ,20220909
70,경기도 성남시 분당구 백현동 376-1번지,41135,11000,0,0376,0001,10891100187555,0,2020091910000013,1,일반,1,총괄표제부,경기도 성남시 분당구 대왕판교로385번길 28 (백현동),성남외국어고등학교, , , ,0,411354340050,11001,0,28,0,1310, , ,보전녹지지역, , ,20220909
71,경기도 성남시 분당구 백현동 376-1번지,41135,11000,0,0376,0001,10891124306,10891100187555,2120061910000046,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 28 (백현동),성남외국어고등학교, , , ,0,411354340050,11001,0,28,0,1310, , ,보전녹지지역, , ,20220909
72,경기도 성남시 분당구 백현동 397번지,41135,11000,0,0397,0000,10891100248940,10891100248939,2120141910000150,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 14-5 (백현동),분당사랑의교회, , , ,0,411354340050,11001,0,14,5,UQA430,UQM110, ,자연녹지지역,자연취락지구, ,20241009
73,경기도 성남시 분당구 백현동 397번지,41135,11000,0,0397,0000,10891100248939,0,2020141910000003,1,일반,1,총괄표제부, ,분당사랑의교회, , , ,0, , ,0,0,0,UQA430,UQM110, ,자연녹지지역,자연취락지구, ,20220909
74,경기도 성남시 분당구 백현동 397번지,41135,11000,0,0397,0000,10891100248941,10891100248939,2120141910000151,1,일반,2,일반건축물, ,분당사랑의교회, , , ,0, , ,0,0,0, , , , , , ,20220909
75,경기도 성남시 분당구 백현동 399번지,41135,11000,0,0399,0000,10891100171646,0,2120071910000386,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 18 (백현동), , , , ,0,411354340050,11001,0,18,0,1330,011, ,자연녹지지역,자연취락지구, ,20220909
76,경기도 성남시 분당구 백현동 399-3번지,41135,11000,0,0399,0003,10891100210126,0,2120101910000443,1,일반,2,일반건축물,경기도 성남시 분당구 대왕판교로385번길 14 (백현동), , , , ,0,411354340050,11001,0,14,0,1330,011, ,자연녹지지역,자연취락지구, ,20220909
